NumOfTips,LikCalculations,Time,isInfLik
0500,5000,0339.035,1
0500,5000,0254.073,1
0500,5000,0320.620,1
0500,5000,0323.414,0
0500,5000,0279.793,1
0500,5000,0265.934,1
0500,5000,0281.217,0
0500,5000,0299.809,0
0500,5000,0280.030,1
0500,5000,0311.928,1
0500,5000,0319.775,1
0500,5000,0330.647,0
0500,5000,0277.008,1
0500,5000,0246.978,0
0500,5000,0292.908,1
0500,5000,0235.419,0
0500,5000,0139.901,1
0500,5000,0267.292,1
0500,5000,0294.874,1
0500,5000,0291.865,0
0500,5000,0270.783,0
0500,5000,0241.054,1
0500,5000,0222.104,1
0500,5000,0297.087,1
0500,5000,0288.829,1
0600,5000,0462.088,1
0600,5000,0342.624,0
0600,5000,0380.915,1
0600,5000,0397.364,1
0600,5000,0374.570,1
0600,5000,0538.528,1
0600,5000,0379.220,0
0600,5000,0296.090,1
0600,5000,0326.550,1
0600,5000,0365.722,1
0600,5000,0259.394,1
0600,5000,0368.735,1
0600,5000,0342.666,1
0600,5000,0373.526,1
0600,5000,0380.873,1
0600,5000,0334.158,1
0600,5000,0330.671,1
0600,5000,0380.413,0
0600,5000,0346.048,1
0600,5000,0352.888,1
0600,5000,0321.694,1
0600,5000,0227.409,1
0600,5000,0333.167,1
0600,5000,0303.142,1
0600,5000,0280.330,1
0600,5000,0299.673,1
0600,5000,0284.840,1
0600,5000,0344.351,0
0600,5000,0268.794,0
0600,5000,0269.701,1
0600,5000,0426.075,1
0600,5000,0330.766,0
0600,5000,0297.857,1
0600,5000,0377.786,1
0600,5000,0293.477,1
0600,5000,0297.703,1
0600,5000,0412.978,1
0600,5000,0372.977,1
0600,5000,0283.507,1
0600,5000,0413.993,1
0600,5000,0288.152,1
0600,5000,0353.948,1
0600,5000,0279.901,1
0600,5000,0376.518,1
0600,5000,0332.397,1
0600,5000,0355.932,1
0600,5000,0470.624,1
0600,5000,0372.247,1
0600,5000,0308.240,0
0600,5000,0352.424,1
0800,5000,0490.838,1
0800,5000,0433.896,0
0800,5000,0408.936,1
0800,5000,0457.128,1
0800,5000,0530.310,1
0800,5000,0488.963,1
0800,5000,0407.844,1
0800,5000,0471.185,1
0800,5000,0406.742,1
0800,5000,0468.116,1
0800,5000,0471.369,1
0800,5000,0410.688,1
0800,5000,0562.259,1
0800,5000,0525.082,1
0800,5000,0374.558,1
0800,5000,0347.044,1
0800,5000,0487.205,1
0800,5000,0464.480,1
0800,5000,0457.024,1
0800,5000,0399.497,1
0800,5000,0509.139,1
0800,5000,0782.232,1
0800,5000,0372.730,1
0800,5000,0462.009,1
0800,5000,0411.876,1
0800,5000,0353.292,1
0800,5000,0457.937,1
0800,5000,0506.785,1
0800,5000,0596.370,1
0800,5000,0436.207,1
0800,5000,0465.474,1
0800,5000,0474.289,1
0800,5000,0443.800,1
0800,5000,0395.323,1
0800,5000,0495.134,1
0800,5000,0508.209,1
0800,5000,0471.672,1
0800,5000,0369.918,1
0800,5000,0415.974,1
0800,5000,0442.739,1
0800,5000,0345.896,1
0800,5000,0490.285,1
0800,5000,0455.314,1
0800,5000,0513.321,1
0800,5000,0476.194,1
0800,5000,0388.594,1
0800,5000,0373.324,1
0800,5000,0989.231,1
0800,5000,0415.035,1
0800,5000,0397.398,0
1000,5000,0449.880,1
1000,5000,0640.669,1
1000,5000,0599.492,1
1000,5000,0516.037,1
1000,5000,0449.366,1
1000,5000,0484.878,1
1000,5000,0583.805,1
1000,5000,0500.738,1
1000,5000,0654.375,1
1000,5000,0398.416,1
1000,5000,0482.302,1
1000,5000,0388.428,1
1000,5000,0470.345,1
1000,5000,0553.405,1
1000,5000,0605.386,1
1000,5000,0422.660,1
1000,5000,0490.880,1
1000,5000,0552.266,1
1000,5000,0496.666,1
1000,5000,0523.208,1
1000,5000,0619.249,1
1000,5000,0577.113,1
1000,5000,0540.782,1
1000,5000,0440.714,1
1000,5000,0487.240,1
1000,5000,0523.688,1
1000,5000,0530.653,1
1000,5000,0695.723,1
1000,5000,0564.007,1
1000,5000,0436.869,1
1000,5000,0367.058,1
1000,5000,0428.246,1
1000,5000,0433.720,1
1000,5000,0465.083,1
1000,5000,0603.609,1
1000,5000,0538.321,1
1000,5000,0604.285,1
1000,5000,0662.533,1
1000,5000,0590.407,1
1000,5000,0291.759,1
1000,5000,0577.839,1
1000,5000,0368.035,1
1000,5000,0508.210,1
1000,5000,0600.644,1
1000,5000,0542.203,1
1000,5000,0597.612,1
1000,5000,0491.377,1
1000,5000,0468.882,1
1000,5000,0440.470,1
1000,5000,0913.564,1
